Long,Lat,Observer,GeneralCondition,Species,OtherSpecies,TreeHeight,LengthCWD,CrownDensity,DeadBranches,EpicormicGrowth,EpicormicPostFire,NoHollows,LeafDiscolouration,AvgPsyllidTree,AvgPsyllidRegen,PresenceTreeShrubs,PresenceReproduction,Comments,PlotID,TreeID,GlobalID,NoMistletoe,DeadTrees,CreationDate,Creator,EditDate,Editor,DateCreated,TreeDriplineDiagram,TreeHeight_m,TreeReproduction,Planted,Tenure,Crown_Density,username,TreeDBH1,TreeDBH2,TreeDBH3,TreeDBH4,TreeDBH5,TreeDBH6,TreeDBH7,TreeDBH8,TreeDBH9,TreeDBH10,TreeDBH11,TreeDBH12,TreeDBH13,TreeDBH14,TreeDBH15,TreeDBH16,TreeDBH17,TreeDBH18,TreeDBH19,TreeDBH20,LeafDiscolour_YellowGrey,CreationDate_1,Creator_1,EditDate_1,Editor_1,LeafDam_Other
149.18331516248233,-35.210013370124564,Emily Sutcliffe,Good,Eucalyptus macrorhyncha, ,,0,4,3,5,,0,No,0,0,14,Yes, ,14220,,{93AE7966-CF3F-4F9A-9354-5E206CED33A0},3,0,,,,,2021-05-21 05:29:04,,0.0,Yes,No,Nature Reserve,4,,79.5,,,,,,,,,,,,,,,,,,,,No,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-24 01:21:30,emily.sutcliffe_ACTGOV,
149.18421964661297,-35.2097446314551,Emily Sutcliffe,Very Good,Eucalyptus rossii, ,,0,4,5,5,,0,No,0,0,17,Yes,,14231,,{20C3DAE3-59EA-4CF3-A55A-327B56C45ACF},0,0,,,,,2021-05-21 02:00:00,,0.0,Yes,No,Nature Reserve,4,,91.0,,,,,,,,,,,,,,,,,,,,No,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-24 01:21:43,emily.sutcliffe_ACTGOV,
149.18086573561718,-35.20755138634199,Emily Sutcliffe,Good,Eucalyptus melliodora, ,,0,5,3,5,,0,No,0,0,3,Yes, ,14344,,{42247D23-FC69-4B52-A26D-FF177D0B9B42},6,0,,,,,2021-05-21 02:00:00,,0.0,Yes,No,Nature Reserve,5,,109.0,,,,,,,,,,,,,,,,,,,,No,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-24 01:21:54,emily.sutcliffe_ACTGOV,
149.19342566645528,-35.20693676310853,Emily Sutcliffe,Very Good,Eucalyptus polyanthemos, ,,0,5,4,3,,0,No,0,,11,Yes, ,14355,,{CBE6FECF-7F98-4F9E-803D-CF3DB8E7A41D},0,0,,,,,2021-05-18 02:12:00,,0.0,Yes,No,Road Reserve,5,,32.0,,,,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
149.18175539324554,-35.20549797845223,Emily Sutcliffe,Very Good,Eucalyptus melliodora, ,,0,5,3,5,,0,No,0,99,1,Unsure,Dbh not measured because it’s on the other side of the predator proof fence.,14397,,{10D9A954-4FC9-40A4-AAF1-2B879B80D272},0,0,,,,,2021-05-21 05:05:25,,0.0,Yes,No,Nature Reserve,5,,0.0,,,,,,,,,,,,,,,,,,,,No,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-24 01:22:00,emily.sutcliffe_ACTGOV,
149.18290501103326,-35.1987971873786,Emily Sutcliffe,Bad,Eucalyptus blakelyi, ,,0,2,2,1,,0,No,2,2,51,Yes,"May not be the original tree, but there are many sorrounding trees in similar condition and size.",14714,,{001CA2D3-F635-4BF7-947D-6E30476C649A},0,0,,,,,2021-05-21 04:51:52,,0.0,No,No,Nature Reserve,2,,6.5,2.5,2.5,2.0,,,,,,,,,,,,,,,,,No,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-24 01:22:14,emily.sutcliffe_ACTGOV,
149.1786515908236,-35.192923959586444,Emily Sutcliffe,Moderate,Eucalyptus blakelyi, ,,0,4,3,3,,0,No,0,0,3,Yes,,14776,,{356627D3-EBEC-480E-9E36-0221844EB609},0,0,,,,,2021-05-21 02:00:00,,0.0,No,No,Nature Reserve,4,,25.5,,,,,,,,,,,,,,,,,,,,No,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-24 01:22:22,emily.sutcliffe_ACTGOV,
149.18148922135316,-35.19267452452137,Emily Sutcliffe,Moderate,Eucalyptus melliodora, ,,0,3,2,3,,0,No,0,0,7,Yes, ,14783,,{19B77F0C-BCBA-43DE-903F-E0EAA1332F12},3,0,,,,,2021-05-21 02:54:20,,0.0,Yes,No,Nature Reserve,3,,89.0,,,,,,,,,,,,,,,,,,,,No,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-24 01:22:30,emily.sutcliffe_ACTGOV,
149.18838180117933,-35.18925064608038,Emily Sutcliffe,Moderate,Eucalyptus melliodora, ,,0,3,2,3,,0,No,3,2,57,Yes, Leaves also eaten 10% around edges.,14936,,{8D7CA4C0-35A1-42F8-AF93-DAD347AC1B25},0,0,,,,,2021-05-17 04:48:48.000001,,0.0,Yes,No,Nature Reserve,3,,21.5,,,,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
149.17692181594154,-35.18942121861858,Emily Sutcliffe,Bad,Eucalyptus melliodora, ,,0,2,2,4,,1,No,0,0,5,Yes, ,14942,,{ED78EA57-ADE4-4F49-87C2-579A35C6A19C},0,0,,,,,2021-05-21 03:40:24,,0.0,Yes,No,Nature Reserve,2,,99.5,,,,,,,,,,,,,,,,,,,,No,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-24 01:22:38,emily.sutcliffe_ACTGOV,
